Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
BASORI SINGH MASRAM,Mandla,INC,0,8th Pass,3621178,350000,2009
MEENAKSHI NATRAJAN,Mandsour,INC,0,Post Graduate,1126966,0,2009
N Chaluvarayaswamy,Mandya,JD(S), 15 ,12th Pass,54168804,4125000,2009
RAMEN DEKA,Mangaldoi,BJP,0,Graduate,7579967,0,2009
JAYANT K SINGH,Mathura,RLD, 1 ,Post Graduate,30204219,288327,2009
CHOUDHURY MOHAN JATUA,Mathurapur,AITC,0,Post Graduate,2585000,0,2009
BABAR GAJANAN DHARMSHI,Maval,SHS, 7 ,Literate,67831434,0,2009
Kodikunnil Suresh,Mavelikkara,INC, 4 ,Graduate Professional,1652747,77210,2009
MANIAN O.S,Mayiladuthurai,ADMK, 1 ,12th Pass,8635089,2000000,2009
Laxman Tudu,Mayurbhanj,BJD,0,Graduate,173000,38986,2009
VIJAYA SHANTHI .M,Medak,TRS,0,10th Pass,271066905,0,2009
Prabodh Panda,Medinipur,CPI,0,Graduate,2230746,362156,2009
RAJENDRA AGARWAL,Meerut,BJP,0,Post Graduate,2121825,315620,2009
BAL KUMAR PATEL,Mirzapur,SP, 10 ,12th Pass,22978000,11695272,2009
ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,6221049,665426,2009
C.L.RUALA,Mizoram,INC,0,Graduate Professional,5354186,0,2009
SUSHILA SAROJ,Mohanlalganj,SP,0,Post Graduate,28680230,2452429,2009
MOHAMMED AZHARUDDIN,Moradabad,INC,0,Graduate,25233948,565160,2009
NARENDRA SINGH TOMAR,Morena,BJP,0,Graduate,3453203,1780000,2009
SANJAY BRIJKISHORLAL NIRUPAM,Mumbai North,INC, 5 ,Graduate,22417801,3727000,2009
DUTT PRIYA SUNIL,Mumbai North Central,INC,0,Graduate,349576448,147511,2009
SANJAY DINA PATIL,Mumbai North East,NCP, 2 ,Graduate,4323503,0,2009
AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,0,Graduate Professional,63926963,0,2009
DEORA MILIND MURLI,Mumbai South,INC,0,Graduate Professional,175373142,0,2009
EKNATH M. GAIKWAD,Mumbai South Central,INC,0,10th Pass,2195416,0,2009
ABDUL MANNAN HOSSAIN,Murshidabad,INC, 1 ,Graduate,1709788,1006391,2009
KADEER RANA,Muzaffarnagar,BSP, 4 ,Literate,58451906,0,2009
CAPTAIN JAI NARAYAN PRASAD NISHAD,Muzaffarpur,JD(U),0,12th Pass,15148831,4337141,2009
ADAGUR H. VISWANATH,Mysore,INC,0,Graduate Professional,28291172,7367061,2009
Pradeep Kumar Majhi,Nabarangpur,INC,0,Graduate,850000,345830,2009
VIJAYAN A K S,Nagapattinam,DMK,0,12th Pass,7205000,1127000,2009
Dr. Manda Jagannath,Nagarkurnool,INC,0,Post Graduate,28126000,3123000,2009
DR JYOTI MIRDHA,Nagaur,INC,0,Graduate Professional,39039915,0,2009
YASHVIR SINGH,Nagina,SP, 1 ,12th Pass,784562,0,2009
MUTTEMWAR VILASRAO BABURAOJI,Nagpur,INC,0,Graduate,15302294,2756726,2009
K.C. SINGH BABA,Nainital-Udhamsingh Nagar,INC,0,12th Pass,43987049,649024,2009
KAUSHALENDRA KUMAR,Nalanda,JD(U),0,12th Pass,7133058,227065,2009
Gutha Sukender Reddy,Nalgonda,INC,0,12th Pass,16040830,16662997,2009
GANDHISELVAN.S,Namakkal,DMK, 2 ,Post Graduate,4070482,0,2009
KHATGAONK PATIL BHASKARRAO BAPURAO,Nanded,INC, 4 ,Graduate,62416000,260000,2009
GAVIT MANIKRAO HODLYA,Nandurbar,INC,0,5th Pass,41064753,0,2009
S.P.Y.REDDY,Nandyal,INC, 1 ,Graduate Professional,92821000,0,2009
VENUGOPALA REDDY MODUGULA,Narasaraopet,TDP, 2 ,Graduate Professional,27493309,51964,2009
BAPIRAJU KANUMURU,Narsapuram,INC,0,10th Pass,30574013,3812438,2009
SAMEER BHUJBAL,Nashik,NCP,0,10th Pass,66660039,0,2009
CHANDRAKANT RAGHUNATH PATIL,Navsari,BJP, 6 ,10th Pass,242083697,42208512,2009
BholaSingh,Nawada,BJP,0,Doctorate,3893000,360000,2009
M Rajamohan Reddy,Nellore,INC,0,Graduate Professional,363462696,0,2009
AJAY MAKAN,New Delhi,INC, 1 ,Post Graduate,40148040,97120,2009
RAJA A,Nilgiris,DMK,0,Graduate Professional,14251669,166862,2009
Madhu Yaskhi Goud,Nizamabad,INC,0,Post Graduate,119108338,15422084,2009
JAI PRAKASH AGARWAL,North East Delhi,INC,0,Graduate,24928873,0,2009
SHRIPAD YESSO NAIK,North Goa,BJP,0,Graduate,9897462,912582,2009
KIRSHNA TIRATH,North West Delhi,INC,0,Graduate Professional,21146350,0,2009
RAJEN GOHAIN,Nowgong,BJP, 1 ,Graduate Professional,10210891,740165,2009
MAGUNTA SRINIVASULU REDDY,Ongole,INC,0,Graduate,102065901,0,2009
PATIL PADAMSINHA BAJIRAO,Osmanabad,NCP, 7 ,Graduate Professional,75852364,0,2009
THANGSO BAITE,Outer Manipur,INC,0,Post Graduate,1778418,880000,2009
M B Rajesh,Palakkad,CPM, 16 ,Post Graduate,1105474,504893,2009
KAMESHWAR BAITHA,Palamau,JMM, 46 ,10th Pass,570000,0,2009
JADHAV BALIRAM SUKUR,Palghar,BVA,0,8th Pass,2399053,0,2009
BADRI RAM,Pali,INC, 1 ,Literate,60243814,498169,2009
PRABHATSINH PRATAPSINH CHAUHAN,Panchmahal,BJP, 3 ,10th Pass,7255000,0,2009
ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,0,Graduate Professional,28111720,0,2009
DR. SANJAY JAISWAL,Paschim Champaran,BJP, 2 ,Post Graduate,10950474,1169173,2009
RANJAN  PRASAD YADAV,Pataliputra,JD(U), 1 ,Doctorate,15319000,0,2009
JAGDISHBHAI MOTIJI THAKORE,Patan,INC,0,10th Pass,3389298,1158381,2009
Anto Antony,Pathanamthitta,INC,0,Graduate,1424205,1706713,2009
PRENEET KAUR,Patiala,INC,0,Graduate,423043438,0,2009
SHATRUGHAN SINHA,Patna Sahib,BJP,0,Graduate,150033976,25878099,2009
Dr. G. Vivekanand,Peddapalle,INC,0,Graduate Professional,729509675,0,2009
"NAPOLEON,D.",Perambalur,DMK,0,Graduate,191419973,28270000,2009
KAPIL MUNI KARWARIYA,Phulpur,BSP, 4 ,Graduate Professional,0,0,2009
FEROZE VARUN GANDHI,Pilibhit,BJP, 6 ,Graduate,49267810,0,2009
SUGUMAR.K,Pollachi,ADMK,0,Graduate,21320000,191027,2009
NARAYANASAMY,Pondicherry,INC,0,Post Graduate,35979157,2171758,2009
E T Mohamed Basheer,Ponnani,MUL,0,10th Pass,605855,0,2009
VITTHALBHAI HANSRAJBHAI RADADIYA,Porbandar,INC, 16 ,Graduate,20675722,0,2009
RAJKUMARI RATNA SINGH,Pratapgarh,INC, 5 ,Graduate,678270725,1002000,2009
KALMADI SURESH,Pune,INC, 1 ,Post Graduate,128165624,0,2009
Pinaki Misra,Puri,BJD,0,Graduate,296900000,0,2009
UDAY SINGH ALIAS PAPPU SINGH,Purnia,BJP, 2 ,12th Pass,419130669,1410120,2009
Narahari Mahato,Purulia,AIFB,0,Post Graduate,3086000,400000,2009
RADHA MOHAN SINGH,Purvi Champaran,BJP,0,Graduate,7629444,184731,2009
SONIA GANDHI,Rae bareli,INC,0,Others,13794768,0,2009
S Pakkirappa,Raichur,BJP, 1 ,5th Pass,7736230,0,2009
ANANT GEETE,Raigad,SHS, 1 ,10th Pass,8555617,0,2009
Deepa Dasmunsi,Raiganj,INC,0,Post Graduate,12514145,0,2009
Vishu Deo Sai,Raigarh,BJP,0,10th Pass,2302000,0,2009
V Arun Kumar,Rajahmundry,INC, 2 ,Graduate Professional,13073077,979680,2009
ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,6233245,605031,2009
NARAYANSINGH AMLABE,Rajgarh,INC,0,12th Pass,3808133,161617,2009
KUNVARJIBHAI MOHANBHAI BAVALIYA,Rajkot,INC, 3 ,Graduate,4560852,599799,2009
DEVIDHAN BESRA,Rajmahal,BJP,0,10th Pass,4828559,0,2009
Madhusudan Yadav,Rajnandgaon,BJP, 1 ,12th Pass,1165680,0,2009
GOPAL SINGH,Rajsamand,INC,0,Graduate Professional,4106255,489648,2009
SIVAKUMAR @ J.K. RITHEESH. K,Ramanathapuram,DMK, 2 ,Graduate,122820653,4000000,2009
JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,131490118,1398995,2009
WASNIK MUKUL BALKRISHNA,Ramtek,INC, 1 ,Post Graduate,3111932,0,2009
SUCHARU RANJAN HALDAR,Ranaghat,AITC,0,Post Graduate,10882896,0,2009
SUBODH KANT SAHAY,Ranchi,INC, 1 ,Graduate,27179918,0,2009
KANTILAL BHURIA,Ratlam,INC,0,Post Graduate,30557089,0,2009
DR.NILESH NARAYAN RANE,Ratnagiri Sindhudurg,INC, 1 ,Doctorate,30561862,0,2009
HARIBHAU MADHAV JAWALE,Raver,BJP,0,Graduate,7842881,629917,2009
DEORAJ SINGH PATEL,Rewa,BSP,0,Post Graduate,30845000,4961271,2009
PAKAURI LAL,Robertsganj,SP,0,Literate,1762515,0,2009
DEEPENDER SINGH,Rohtak,INC,0,Post Graduate,65367032,0,2009
MAHENDRASINH PRUTHVISINH CHAUHAN,Sabarkantha,BJP,0,Graduate Professional,8842370,161190,2009
JAGDISH SINGH RANA,Saharanpur,BSP,0,Graduate,18867277,298187,2009
SEMMALAI S,Salem,ADMK, 2 ,Graduate Professional,46220339,59000,2009
RAMASHANKAR RAJBHAR,Salempur,BSP,0,Graduate,2305000,0,2009
MAHESWER HAZARI,Samastipur,JD(U),0,Post Graduate,6964921,1054356,2009
Amarnath Pradhan,Sambalpur,INC,0,Graduate,4325000,466494,2009
DR. SHAFIQUR RAHMAN BARQ,Sambhal,BSP,0,Graduate,7059763,0,2009
PRATIK PRAKASHBAPU PATIL,Sangli,INC, 1 ,Others,22137000,1358000,2009
VIJAY INDER SINGLA,Sangrur,INC,0,12th Pass,34777859,374957,2009
BHISMA SHANKAR ALIAS KUSHAL TIWARI,Sant Kabir Nagar,BSP,0,12th Pass,31926944,1125920,2009
MEIRA KUMAR,Sasaram,INC,0,Post Graduate,101565500,0,2009
BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Satara,NCP, 14 ,Others,117253344,1800000,2009
GANESH SINGH,Satna,BJP, 3 ,Post Graduate,7372032,16585,2009
ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,20620697,1500000,2009
RAJESH NANDINI SINGH,Shahdol,INC,0,Graduate,11475000,200000,2009
MITHLESH,Shahjahanpur,SP,0,Graduate,8035655,1746024,2009
RAMA DEVI,Sheohar,BJP, 5 ,Graduate Professional,69429234,883367,2009
VINCENT H PALA,Shillong,INC,0,Graduate Professional,251618190,0,2009
VIRENDER KASHYAP,Shimla,BJP,0,Post Graduate,3434928,0,2009
B.Y. RAGHAVENDRA,Shimoga,BJP,0,Graduate Professional,66273401,4234969,2009
WAKCHOURE BHAUSAHEB RAJARAM,Shirdi,SHS,0,Post Graduate,17860515,2427069,2009
ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS, 4 ,Post Graduate,127113134,16221275,2009
VINAY KUMAR ALIAS VINNU,Shrawasti,INC, 4 ,Doctorate,15743200,589157,2009
GOVIND PRASAD MISHRA,Sidhi,BJP,0,Graduate Professional,5187425,0,2009
MAHADEV SINGH,Sikar,INC,0,Post Graduate,7879689,0,2009
PREM DAS RAI,Sikkim,SDF,0,Post Graduate,18503294,841835,2009
Kabindra Purkayastha,Silchar,BJP,0,Post Graduate,2098543,81279,2009
MADHU KORA,Singhbhum,IND,0,Graduate,9832144,0,2009
ASHOK TANWAR,Sirsa,INC, 2 ,Post Graduate,23664959,0,2009
ARJUN ROY,Sitamarhi,JD(U),0,Doctorate,2907146,462913,2009
KAISAR JAHAN,Sitapur,BSP,0,8th Pass,6553956,0,2009
CHIDAMBARAM P,Sivaganga,INC,0,Post Graduate,267908542,0,2009
OmPrakashYadav,Siwan,IND, 1 ,Graduate,3032500,0,2009
SHINDE SUSHILKUMAR SAMBHAJIRAO,Solapur,INC,0,Graduate Professional,86042099,3700000,2009
JITENDER SINGH,Sonipat,INC,0,Graduate Professional,1779080,0,2009
RAMESH KUMAR,South Delhi,INC,0,10th Pass,25845997,329812,2009
COSME FRANCISCO CAITANO SARDINHA,South Goa,INC,0,Graduate Professional,29473470,443500,2009
KALYAN BANERJEE,Sreerampur,AITC,0,Graduate Professional,16146266,2125000,2009
K. KRUPA RANI,Srikakulam,INC,0,Graduate Professional,18491160,2642781,2009
FAROOQ ABDULLAH,Srinagar,JKN,0,Graduate Professional,97841140,0,2009
BAALU T R,Sriperumbudur,DMK,0,Graduate,76971478,0,2009
DR.SANJAY SINGH,Sultanpur,INC,0,Doctorate,62259720,0,2009
HEMANAND BISWAL,Sundargarh,INC,0,12th Pass,3965226,0,2009
VISHWA MOHAN KUMAR,Supaul,JD(U),0,Post Graduate,6689616,440179,2009
DARSNABEN VIKRAMBHAI JARDOS,Surat,BJP, 1 ,Graduate,9021338,395000,2009
SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,0,5th Pass,18618718,0,2009
ADHIKARI SUVENDU,Tamluk,AITC, 3 ,Graduate,4751934,0,2009
VIJAY BAHUGUNA,Tehri Garhwal,INC,0,Graduate Professional,13501773,0,2009
LINGAM P,Tenkasi,CPI,0,Graduate,159365,23014,2009
JOSEPH TOPPO,Tezpur,AGP,0,10th Pass,936292,535000,2009
DR.SANJEEV GANESH NAIK,Thane,NCP, 2 ,12th Pass,30415344,0,2009
PALANIMANICKAM.S.S,Thanjavur,DMK,0,Graduate Professional,7523592,2841136,2009
AARON RASHID.J.M,Theni,INC,0,12th Pass,248974573,2191815,2009
Shashi Tharoor,Thiruvananthapuram,INC, 1 ,Doctorate,212442472,0,2009
JEYADURAI S R,Thoothukkudi,DMK,0,Graduate,87526313,1090000,2009
P C Chacko,Thrissur,INC,0,Post Graduate,16335679,0,2009
VIRENDRA KUMAR,Tikamgarh,BJP,0,Doctorate,2551466,0,2009
KUMAR.P,Tiruchirappalli,ADMK,0,Graduate Professional,5345000,806395,2009
RAMASUBBU S,Tirunelveli,INC,0,Post Graduate,34706447,1807386,2009
Chinta Mohan,Tirupati,INC,0,Graduate Professional,5512900,557719,2009
SIVASAMI C,Tiruppur,ADMK, 3 ,Post Graduate,51892954,0,2009
VENUGOPAL.P,Tiruvallur,ADMK,0,Graduate Professional,2074236,350000,2009
VENUGOPAL.D,Tiruvannamalai,DMK,0,Others,57010000,1538546,2009
BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,3695981,0,2009
KHAGEN DAS,Tripura West,CPM,0,Post Graduate,3492580,0,2009
G.S. BASAVARAJU,Tumkur,BJP,0,Graduate Professional,54382029,8761621,2009
AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,6644295,0,2009
Raghuveer singh,Udaipur,INC,0,Graduate,6753883,1750000,2009
CH. LAL SINGH,Udhampur,INC,0,Graduate,1762378,2650000,2009
D.V.Sadananda Gowda,Udupi Chikmagalur,BJP,0,Graduate Professional,14375959,2486447,2009
ASWAMEDH DEVI,Ujiarpur,JD(U),0,5th Pass,10536274,341141,2009
GUDDU PREMCHAND,Ujjain,INC, 3 ,5th Pass,105031313,1500000,2009
SULTAN AHMED,Uluberia,AITC,0,Graduate,6026230,3600555,2009
ANNUTANDON,Unnao,INC, 1 ,Graduate,421352753,0,2009
Ananthkumar Hegde,Uttara Kannada,BJP, 3 ,12th Pass,6427192,3955458,2009
Mullappally Ramachandran,Vadakara,INC,0,Post Graduate,3316300,502346,2009
BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP, 1 ,Graduate,2662058,216512,2009
RAGHUVANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,6169238,214137,2009
BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U), 1 ,10th Pass,4428802,520445,2009
KISANBHAI VESTABHAI PATEL,Valsad,INC, 2 ,12th Pass,1520245,0,2009
DR. MURLI MANOHAR JOSHI,Varanasi,BJP, 1 ,Doctorate,54475345,0,2009
ABDUL RAHMAN,Vellore,DMK,0,Graduate,12547128,3297328,2009
SUSHMA SWARAJ,Vidisha,BJP,0,Graduate Professional,73582637,58250,2009
L Rajagopal,Vijayawada,INC,0,Graduate Professional,1222964909,23967984,2009
ANANDAN M,Viluppuram,ADMK,0,12th Pass,8938646,967994,2009
MANICKA TAGORE,Virudhunagar,INC,0,Graduate Professional,3313910,0,2009
D. PURANDARESHWARI,Visakhapatnam,INC,0,Graduate,202639034,560000,2009
B. JHANSI,Vizianagaram,INC, 1 ,Post Graduate,22951539,0,2009
Rajaiah Siricilla,Warangal,INC,0,Graduate,4224704,1461167,2009
DATTA MEGHE,Wardha,INC,0,Graduate,287739495,70008871,2009
M I Shanavas,Wayanad,INC,0,Post Graduate,23904424,2548978,2009
MAHABAL MISHRA,West Delhi,INC,0,12th Pass,61994338,989118,2009
BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS, 1 ,Graduate,30399471,2430911,2009
SURESH KUMAR SHETKAR,Zahirabad,INC,0,Graduate,3011999,0,2009
